DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DP01,DP10,DT32,DX32,DX90,PRCP,TAVG,TMAX,TMIN,ENSO_index,ENSO_lag1
1951-01-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,12,7,0,0,0,87.1,9.7,13.6,5.8,-1.3,
1951-02-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,15,3,0,0,0,27.4,10.5,14.2,6.7,-1.04,-1.3
1951-03-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,12,5,4,0,0,43.5,10.6,15.4,5.9,-0.38,-1.04
1951-04-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,7,3,0,0,0,27.1,13.6,18.9,8.2,-0.23,-0.38
1951-05-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,9,5,0,0,0,40.7,16.6,21.6,11.6,-0.01,-0.23
1951-06-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,2,1,0,0,2,8.7,21.1,27.0,15.2,0.0,-0.01
1951-07-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,1,0,0,0,5,1.0,23.6,29.8,17.4,0.3,0.0
1951-08-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,2,2,0,0,9,15.9,24.5,31.1,17.9,0.17,0.3
1951-09-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,11,6,0,0,0,212.4,22.1,27.8,16.4,0.51,0.17
1951-10-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,8,7,0,0,0,69.4,15.3,20.8,9.9,0.49,0.51
1951-11-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,11,8,0,0,0,64.9,13.5,17.8,9.1,0.55,0.49
1951-12-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,11,7,2,0,0,64.7,8.5,13.5,3.4,0.31,0.55
1952-01-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,13,5,9,0,0,56.4,7.0,11.5,2.4,0.13,0.31
1952-02-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,10,5,5,0,0,32.9,7.3,12.1,2.5,-0.01,0.13
1952-03-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,4,1,2,0,0,7.8,10.7,15.9,5.5,-0.11,-0.01
1952-04-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,5,0,0,0,0,6.1,15.4,20.5,10.2,-0.02,-0.11
1952-05-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,3,3,0,0,0,31.7,17.9,23.5,12.3,-0.14,-0.02
1952-06-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,2,2,0,0,5,27.4,23.3,29.2,17.4,-0.54,-0.14
1952-07-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,2,2,0,0,16,51.5,26.2,32.2,20.3,-0.76,-0.54
1952-08-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,1,1,0,0,14,7.1,25.6,31.5,19.7,-0.56,-0.76
1952-09-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,11,5,0,0,0,62.6,20.9,25.4,16.4,-0.36,-0.56
1952-10-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,8,4,0,0,0,30.8,17.0,21.3,12.7,-0.46,-0.36
1952-11-01,IT000016239,"ROMA CIAMPINO, IT",41.7831,12.5831,105.0,4,3,0,0,0,17.9,10.9,15.2,6.5,-0.78,-0.46
